题目,朝代,作者,内容
题秋江送别图送杨亨衢少府参安成军事,元末明初,郭钰,杨少府，紫骝马，黄金鞭，团花战袍绣两肩。腰下雕弓悬，迥若秋鹰解绦旋。纵之飒飒，凌千仞之苍烟。酒酣拔剑玉龙舞，喝令西飞白日回中天。簸海腥风白波立，压空杀气玄云连。缘边诸将亦无数，昼拥旌旗夜挝鼓。豹韬合变待参谋，太守抡才君独去。送君江上君甚欢，江风吹雪芦花寒。知君心事如秋水，故应写入画图看。问谁画者谢君绩，不画琵琶美人泣。舟子扬帆发棹歌，主人解剑停杯立。我亦从军今四年，男儿姓名何足怜。老亲白发长相忆，只得还家种薄田。
送友人从军兼呈谢君绩参军,元末明初,郭钰,叹息复叹息，叹息长书空。杀贼五年无寸功，今者又送君从戎。七星战袍衬金甲，三山尖帽飘猩红。牙旂晓发玉花骢，猛士双剑立西东。爷娘妻子不用哭，上马更劝黄金钟。黄金钟，琥珀浓，豪气千尺摇晴虹。明日军门揖主将，论军未可皆雷同。安成之寇容易攻，庐陵凋弊遗民穷。自非奇谋决擒纵，烦费日久谁当供？君家伯仲尽少年，正好变化扳飞龙。颇闻幕府多才雄，为我问信毋匆匆。我有大羽箭，不杀南飞鸿。要如鲁仲连，系书射入聊城中。祇缘骨相不受封，不如扁舟归去长伴沧浪翁。
渔家傲,元末明初,梵琦,听说娑婆无量苦。人皆染色贪尊俎。玉镂笙箫金贴鼓。长鼓舞。梨园弟子邯郸女。冬衣紫貂春白苎。凉亭暖阁消寒暑。一旦神魂归地府。应难取。空教泪点多如雨。
渔家傲,元末明初,梵琦,听说西方无量乐。凡夫浅智难图度。随有愿度无不获。何劳萦。珠衣绮馔黄金宅。地似掌平尤广博。八功德水非穿凿。白藕花中胎可托。三生约。如今岂可轻抛却。
渔家傲,元末明初,梵琦,听说西方无量乐。四方上下天垂幕。不比娑婆田地恶。无垠堮。纯将一片琉璃作。能扫爱河波浪涸。尽翻苦树枝条落。智焰争容蚊蚋泊。神超卓。径登广大毗卢阁。
渔家傲,元末明初,梵琦,听说西方无量乐。弥陀圣主垂恩泽。洗我禅心清且白。难寻迹。月光倒射寒潭碧。旧债新冤都解释。通身变作黄金色。一念须臾圆万德。真奇特。十方拂授如来职。
渔家傲,元末明初,梵琦,听说西方无量乐。长生不假神仙药。胎就眼开花正拆。心彰灼。永为自在逍遥客。来度众生离火宅。命终免被阎王责。露地牛儿如雪白。无鞭索。黄金地上从跳跃。
渔家傲,元末明初,梵琦,听说娑婆无量苦。横遭狱讼拘官府。大杖击身疮未愈。重鞭楚。血流满地青蝇聚。牒诉纷纷皆妄语。无人敢打登闻鼓。天上群仙司下土。能轻举。何时一降幽囚所。
渔家傲,元末明初,梵琦,听说西方无量乐。法王治化消诸恶。天上人间元不隔。相参错。圣凡平等同圆觉。长见宝花空际落。朝朝暮暮闻音乐。衣食自然非造作。香台阁。遍周国界常宽廓。
渔家傲,元末明初,梵琦,听说西方无量乐。庄严七宝为楼阁。玛瑙珊瑚兼琥珀。光堪摘。金绳界道何辉赫。宝树灵禽皆化作。满地凫雁鸳鸯鹤。鹦鹉频伽并孔雀。争鸣跃。更看朵朵金莲折。
渔家傲,元末明初,梵琦,听说西方无量乐。未曾闻见须扬榷。异宝奇珍光间错。同栖泊。如来大士并缘觉。诸上善人皆许诺。谈空说苦相酬酢。百騺群中随一鹗。翔寥廓。从兹永断凡夫恶。
渔家傲,元末明初,梵琦,听说西方无量乐。一闻妙道忘知觉。胸次不留元字脚。真标客。光明遍界红轮赫。鹏翅展开沧海窄。谁能更问篱边雀。多少凡毛并圣角。都拈却。尘尘刹那归无着。
渔家傲,元末明初,梵琦,听说娑婆无量苦。死生总作轮回主。六贼操刀为伴侣。同居住。何曾顷刻抛离去。功德天和黑暗女。两人最是难相聚。有智主人俱不取。依吾语。从今更莫登门户。
渔家傲,元末明初,梵琦,听说西方无量乐。娑婆已悔从前错。佛号自呼还自讷。思量着。惟心净土谁云隔。一贯由来双五百。婴儿谩把空拳吓。拟议不来遭一掴。诸禅客。凡情圣解曾销铄。
渔家傲,元末明初,梵琦,听说西方无量乐。琉璃田地金城郭。翡翠鲜明珠磊落。莲披萼。几多青赤并黄白。大士声闻随所适。天华烂漫沾衣裓。各各化身千百亿。神通力。须臾游遍微尘国。
渔家傲,元末明初,梵琦,听说娑婆无量苦。箧中四大蚖蛇聚。重者好沉轻好举。相凌侮。况兼合宅空无主。早觉参差梁与柱。风飘雨打难撑拄。毕竟由他倾坏去。教人惧。不如觅个安身处。
渔家傲,元末明初,梵琦,听说西方无量乐。且教影与形商略。收拾神情归淡泊。重磨削。觚圆更复雕为朴。世事休休还莫莫。谁论天爵并人爵。一念未生谁善恶。俄然觉。紫鳞掣断黄金索。
渔家傲,元末明初,梵琦,听说娑婆无量苦。如今业债前来负。贼劫货财身被虏。逢狼虎。挑生咒死兼巫蛊。奴婢辛勤依恶主。黑疮白癞聋和瞽。丑恶愚痴相与处。谁怜汝。发心归命慈悲父。
渔家傲,元末明初,梵琦,听说娑婆无量苦。家家未免为商贾。出入江山多险阻。非吾土。磨牙噬肉遭人虎。魂魄欲归迷去所。烟横北岭云南坞。一望连天皆莽卤。知何许。荒村飒飒风吹雨。
渔家傲,元末明初,梵琦,听说娑婆无量苦。千思万算劳肠肚。地水火风争胜负。何牢固。到头尽化微尘去。一颗心珠离染污。声前色后常披露。打破髑髅无觅处。除非悟。如来金口亲分付。
渔家傲,元末明初,梵琦,听说西方无量乐。风林水鸟声交作。法句时时相警觉。贪嗔薄。能教有学成无学。不染六尘离五浊。如蝉蛇去无明壳。肯受涅盘生死缚。空捞摸。语言文字皆糟粕。
渔家傲 西方乐,元末明初,梵琦,听说西方无量乐。三贤十圣同依托。稽首弥陀圆满觉。长参学。川流赴海尘成岳。佛性在躬如玉璞。须凭巧匠勤雕琢。凡圣皆由心所作。难描邈。华台宝座珠璎珞。
渔家傲,元末明初,梵琦,听说西方无量乐。君王便是如来作。不立三光并五岳。除沟壑。红霞紫雾长笼络。四八仪容金闪烁。钵中美味随斟酌。发愿往生真上策。堪呵责。死生路上飘蓬客。
渔家傲,元末明初,梵琦,听说西方无量乐。乐邦是我心开拓。根阙女人皆不着。谁强弱。一人一朵金莲萼。行树七重珠网络。宝楼风韵金铃铎。天上乐音相间作。须诚悫。返闻自性同先觉。
渔家傲,元末明初,梵琦,听说西方无量乐。娑婆自恨身飘泊。注想存心连晦朔。归皇觉。全台接引休忘约。架厦区区同燕雀。成桥渺渺随乌鹊。早晚无常来逼迫。难推却。西游快展摩霄翮。
渔家傲,元末明初,梵琦,听说娑婆无量苦。三农望断海天雨。车水种苗苗不举。难禁暑。被风扇作荒茅聚。久旱掘泉唯见土。海潮又入蒹葭浦。南北东西皆斥卤。枯禾黍。官粮更要征民户。
渔家傲,元末明初,梵琦,听说娑婆无量苦。凶兵解散还屯聚。昨日为齐今日楚。更奴虏。乾坤毕竟归神武。赵括才疏空自许。强秦用间欺其主。四十万军生入土。悲前古。至今鬼哭长平下。
渔家傲,元末明初,梵琦,听说娑婆无量苦。星分海角船居户。东望扶桑朝日吐。迷洲渚。炮车云起青天雨。卸却云帆停却橹。打头风急鲸鱼舞。滚滚潮声喧万鼓。愁肝腑。遭逢患难谁依怙。
渔家傲,元末明初,梵琦,听说娑婆无量苦。高夸富足惭贫窭。无食无衣无栋宇。悬空釜。举头又见红轮午。只有涧边芹可食。黄昏坐听饥肠语。多粟多金多子女。同欢聚。看来总是前生注。
渔家傲,元末明初,梵琦,听说娑婆无量苦。为君一一分明举。风俗淫邪人跋扈。多囹圄。命终未免沉冥府。检点恶名看罪簿。因兹惹起阎罗怒。炉炭镬汤烧又煮。争容汝。自家作业非人与。
渔家傲,元末明初,梵琦,听说娑婆无量苦。人当乱世投军旅。寇至不分男与女。摧腰膂。鸣蝉竟断螳螂斧。纵有才能超卒伍。几人衣锦还乡土。燕颔虎头封万户。虚相误。奈何李广逢奇数。
渔家傲,元末明初,梵琦,听说娑婆无量苦。风前陡觉双眉竖。贪欲如狼嗔猛虎。魔军主。张弓架箭痴男女。日月往来寒又暑。乾坤开合晴还雨。白骨茫茫销作土。嗟今古。何人踏着无生路。
渔家傲,元末明初,梵琦,听说娑婆无量苦。茶盐坑冶仓场务。损折课程遭箠楚。赔官府。倾家卖产输儿女。口体将何充粒缕。飘蓬未有栖迟所。苛政酷于蛇与虎。争容诉。劝君莫犯雷霆怒。
武昌南湖度夏,元末明初,丁鹤年,南浦幽栖地，当门罨画开。青山入云去，白雨渡湖来。石润生龙气，川光媚蚌胎。芙蕖三百顷，何处著炎埃。
送贾彦临训导霍丘,元末明初,方行,中都会面得从容，两载同听长乐钟。天近君门严虎豹，地宽人海混鱼龙。承恩自合归宣室，论道安能老辟雍。江柳春花增别恨，白头何日更相逢。
送薛鹤斋真人代祀天妃还京,元末明初,王逢,蓬莱宫里上卿班，代祀天妃隔岁还。日绕五文皆御气，海浮一发是成山。风霆夜护龙鸾节，云雾朝披玉雪颜。圣渥既隆玄化盛，转输应尽入秦关。
钱塘春感六首 其二,元末明初,王逢,王气凌虚散晓霞，虎闱麟阁静烟花。中天日月迂黄道，沧海风云冷翠华。望帝神游夔子国，乌衣梦隔野人家。当时举目山河异，岂但红颜泣塞笳。
钱塘春感六首 其三,元末明初,王逢,周南风俗汉衣冠，五色云中忆驻銮。璎珞桧高藏白兽，蕊珠花发降文鸾。河通织女机丝湿，雨歇巫娥翠黛寒。满地吴山谁洒泪，一江春水独凭阑。
钱塘春感六首 其五,元末明初,王逢,瑶池青鸟集觚棱，白塔金凫閟夜灯。云母帐虚星采动，水晶宫冷露华凝。骊山草暗墟周业，郿坞花繁失汉陵。白马素车江海上，依然潮汐撼西兴。
钱塘春感六首 其一,元末明初,王逢,紫罽軿车从六龙，尽随仙曲度青空。苍山楼阙旃林里，赤羽旌麾野庙中。百姓未忘周大赉，成都元有汉遗风。流莺不管伤春恨，冲落桃花满树红。
钱塘春感六首 其四,元末明初,王逢,日华初动衮衣明，剑佩千官隐绣楹。五色黼函开玉座，九重汤药下银罂。书题凤尾仙曹喜，恩浃螭坳学士荣。文化有余戎事略，铜驼草露不胜情。
钱塘春感六首 其六,元末明初,王逢,金爵觚棱月向低，泠泠清磬万松西。五门曙色开龙尾，十日春寒健马蹄。红雾不收花气合，绿波初涨柳条齐。遗民暗忆名都会，尚绕湖漘唱《大堤》。
题马洲书院,元末明初,王逢,蝌斗秦皆废，灵光鲁独存。豆笾漂海国，丹雘暗淮村。苔藓花侵础，蒲芦叶拥门。青春深雾潦，白日老乾坤。德化三王并，威仪百代尊。郊麟初隐遁，野兕遂崩奔。先辈俱冥漠，诸生罢讲论。断编尘树冷，遗像网虫昏。尽变衣冠俗，终归礼义源。江南游学士，瞻拜敢忘言。
秋夜叹,元末明初,王逢,大星芒鬣张，小星光华开。皇天示兵象，胜地今蒿莱。河岳气不分，烛龙安在哉？参赞道岂谬，积阴故迟回。疏风夜萧萧，野燐纷往来。安知非游魂，相视白骨哀。汩汩饮马窟，云冥望乡台。于时负肝胆，慷慨思雄材。
如梦令 菰村赋赠,元末明初,王逢,檐耸数株松子。村绕一湾菰米。鸥外迥闻鸡，望望云山烟水。多此。多此。酒进玉盘双鲤。
红梅十九首 其一,元末明初,王冕,梦回诗思不可遏，赤脚溪头夜踏冰。忽地风来明月动，彩鸾飞出碧云层。
红梅十九首 其二,元末明初,王冕,颜色虽殊心不异，漫随时俗混繁华。清香吹散乾坤外，不是寻常桃杏花。
红梅十九首 其三,元末明初,王冕,老梅标致何潇洒，不与寻常草木同。可笑燕山人事别，春风只看杏花红。
红梅十九首 其四,元末明初,王冕,翠华影转宜春苑，苑里红梅一夜开。学士赋诗承赐宴，内官传道首绯来。
红梅十九首 其五,元末明初,王冕,和羹风致谁能解，个个花开耐岁寒。五月燕山木黄落，相逢只作画图看。
红梅十九首 其六,元末明初,王冕,白日迟迟照窗户，深院不知春几许？紫箫声转香风回，隔帘踏动燕脂雨。
红梅十九首 其七,元末明初,王冕,十二阑干一院花，春风犹忆旧京华。翠云不隔西湖路，梦入咸平处士家。
红梅十九首 其八,元末明初,王冕,洞天窅窅无人到，白日丹光出树林。仙子竟忘食玉法，笑迎春色绿云阴。
红梅十九首 其九,元末明初,王冕,彩凤穿花啄石苔，玉窗琼户紫烟开。山人不说罗浮梦，却忆玄都观里栽。
红梅十九首 其十,元末明初,王冕,桃杏漫山总粗俗，旧家池馆尚春风。道人不作罗浮梦，坐看珊瑚海日红。
红梅十九首 其十一,元末明初,王冕,山林养得寸心丹，岂是清香不耐寒？今日春风好颜色，任他自作杏花看。
红梅十九首 其十二,元末明初,王冕,玉妃步月影毵毵，燕罢瑶池酒正酣。半夜不知香露冷，春风吹梦过江南。
红梅十九首 其十三,元末明初,王冕,昭阳殿里醉春风，香隔琼帘映浅红。翠袖拥云扶不起，玉箫吹过小楼东。
红梅十九首 其十四,元末明初,王冕,罗浮仙子醉春风，玉骨冰肌晕浅红。一味清香消不尽，几回飞梦锦云中。
红梅十九首 其十五,元末明初,王冕,仙子归来逸兴赊，梦中犹说旧繁华。春风转首情何已？却向江南认杏花。
红梅十九首 其十六,元末明初,王冕,仙子云中驾鹤归，翩翩雾佩晓风吹。玉肌轻染燕脂色，恰似罗浮夜醉时。
红梅十九首 其十七,元末明初,王冕,满湖水色净娟娟，正是春风二月天。醉后不知云尺屋，燕脂飞雨堕楼船。
红梅十九首 其十八,元末明初,王冕,玉骨清臞怯素妆，春风一醉九霞觞。绿房午夜娇云暖，不梦梨花梦海棠。
红梅十九首 其十九,元末明初,王冕,烂醉西湖处士家，酒痕吹上水边花。东风蛱蝶迷香梦，一树珊瑚月影斜。
应教题梅,元末明初,王冕,剌剌北风吹倒人，乾坤无处不沙尘。胡儿冻死长城下，谁信江南别有春。
素梅五十八首 其一,元末明初,王冕,大庾岭头春似海，不是寻常白玉堂。昨夜护龙河上看，一天明月四檐霜。
素梅五十八首 其二,元末明初,王冕,树头历历见明珠，底用题诗问老逋？且买金陵秋露白，小舟载月过西湖。
素梅五十八首 其三,元末明初,王冕,江南雪消春渐回，溪东溪西梅花开。幽人作诗兴不浅，时复杖藜携酒来。
素梅五十八首 其四,元末明初,王冕,岁寒风致少能解，野草安能识此情？春到玉堂浑不觉，清香疏影自分明。
素梅五十八首 其五,元末明初,王冕,五云缥缈隔蓬莱，仙子吹箫月下回。转首不知春几许，霜花如雪满瑶台。
素梅五十八首 其六,元末明初,王冕,江南十月春色早，处处梅花当水开。玉笛一声霜不小，满天明月鹤飞来。
素梅五十八首 其七,元末明初,王冕,罗浮月白海无尘，玉树琼林处处春。半夜禹陵风雨作，屋梁飞动欲生鳞。
素梅五十八首 其八,元末明初,王冕,铁石心肠满面霜，岁寒吾计未全荒。相逢休问春何处，定是调羹到玉堂。
素梅五十八首 其九,元末明初,王冕,不向罗浮问醉仙，笑呼孤鹤下吴天。春风吹散梅花雪，香满西湖载酒船。
素梅五十八首 其十,元末明初,王冕,玉雪玲珑瘦影重，不同桃李媚春风。十分清致无人解，犹在旧家池馆中。
素梅五十八首 其十一,元末明初,王冕,寒枝错落冻不解，隔水清香招得来。午夜风停雪声堕，梅花开尽不知寒。
素梅五十八首 其十二,元末明初,王冕,断云流水孤山路，看得春风几树花。骑马归来城郭是，月明箫管起谁家？
素梅五十八首 其十三,元末明初,王冕,昨夜朔风吹倒人，梅花枝上十分春。老夫高卧石窗下，嬴得清香入梦频。
素梅五十八首 其十四,元末明初,王冕,朔风吹冷过山城，巾子峰头雪未晴。十载西湖闲客梦，夜来山月最分明。
素梅五十八首 其十五,元末明初,王冕,罗浮山下雪三尺，白玉堂前春几分。岁晏归来诗思好，东风吹散一溪云。
题画梅,元末明初,王冕,疏花粲粲照寒水，玛瑙坡前春独回。却忆去年风雪里，吹箫曾棹酒船来。
素梅五十八首 其十七,元末明初,王冕,天寒江国霜如雪，草木无情尽摧折。不知春意到江南，疏影横斜半窗月。
素梅五十八首 其十八,元末明初,王冕,春风处处竞繁华，桃李无言亦好花。独有高人爱高洁，肯冲冰雪到山家。
素梅五十八首 其十九,元末明初,王冕,平生固守冰霜操，不与繁花一样情。岁晏溪头春意足，是谁看得最分明？
素梅五十八首 其二十,元末明初,王冕,疏篱潇洒绿烟寒，老树鳞皴艾叶攒。昨夜天空明月白，一枝疏影隔窗看。
素梅五十八首 其二十一,元末明初,王冕,春风一笑玉无垠，云散空窗见月痕。半夜鹤归诗思好，清香吹满水南轩。
素梅五十八首 其二十二,元末明初,王冕,月明曾过西湖路，爱看横枝当水斜。试问玉堂诸学士，几时清梦到山家？
素梅五十八首 其二十三,元末明初,王冕,明月满天霜气重，梅花风韵更清妍。鹤飞不带箫声远，春过西泠第二船。
素梅五十八首 其二十四,元末明初,王冕,霜花浮影月娟娟，春色无痕上画船。转首西湖风景异，不知谁识老逋仙？
素梅五十八首 其二十五,元末明初,王冕,吹彻瑶笙鹤未还，小桥流水碧潺潺。夜深梦醒推窗看，白月无痕雪满山。
素梅五十八首 其二十六,元末明初,王冕,鹅州城东古梅树，鳞甲满身如老龙。冷霜极冷欺不得，春风吹作玉玲珑。
素梅五十八首 其二十七,元末明初,王冕,记得西泠春色归，珠星璧月景离离。近来消息真堪笑，却说梅花不要诗。
素梅五十八首 其二十八,元末明初,王冕,开遍南枝又北枝，春风于我似相知。酒边漫说罗浮梦，忘却瑶台月下时。
素梅五十八首 其二十九,元末明初,王冕,十月中原风景别，寒冰如地雪漫天。相逢尽说江南好，处处梅花压酒船。
素梅五十八首 其三十,元末明初,王冕,溪谷冰霜春到迟，老夫长夜只吟诗。凭谁说与中朝士？此是江南第一枝。
素梅五十八首 其三十一,元末明初,王冕,玛瑙坡前春未来，几番空棹酒船回。西湖今日清如许，一树梅花压水开。
素梅五十八首 其三十二,元末明初,王冕,潇洒山林惯雪霜，不同桃李竞芬芳。何缘作得春风梦？一夜吹香到玉堂。
素梅五十八首 其三十三,元末明初,王冕,此心如铁蕴阳和，不得春风也自花。何自高人爱潇洒？夜深踏雪到山家。
素梅五十八首 其三十四,元末明初,王冕,铁石心肠冰雪颜，逢时亦有好花看。玉堂可有青毡旧？不畏风霜入骨寒。
素梅五十八首 其三十五,元末明初,王冕,千年万年老梅树，三花五花无限春。不比寻常桃树李，只将颜色媚时人。
素梅五十八首 其三十六,元末明初,王冕,霜气横空水满川，梅花枝上月娟娟。却思前载孤山下，半夜吹箫上画船。
素梅五十八首 其三十七,元末明初,王冕,夜来漫踏前村雪，雪里梅花认得真。回首中原天万里，琼林玉树一般春。
素梅五十八首 其三十八,元末明初,王冕,一树横斜白玉条，春风吹乱雪飘飘。孤山老却林和靖，多载笙歌过六桥。
素梅五十八首 其三十九,元末明初,王冕,瘦铁一枝横照水，疏花点点耐清寒。雪晴月白孤山下，几度清香拄杖看。
素梅五十八首 其四十,元末明初,王冕,今日开门见远山，炼师坛下列清班。看来都是梅花树，个个春风玉佩环。
素梅五十八首 其四十一,元末明初,王冕,树阴如屋雾如潮，浅水流花落野桥。忽忆去年秋八月，玉霄峰顶夜吹箫。
素梅五十八首 其四十二,元末明初,王冕,仙子归来夜未央，瑞香风动翠罗裳。月明无处韬清影，箫管迎春上玉堂。
素梅五十八首 其四十三,元末明初,王冕,海云初破月团团，独鹤归来夜未阑。一片笙箫湖水上，玉妃无语倚阑干。
素梅五十八首 其四十四,元末明初,王冕,云间古寺陆机宅，草木萧森鹤不来。惟有溪头老梅树，霜花犹是旧时开。
素梅五十八首 其四十五,元末明初,王冕,三月东风吹雪消，湖南山色翠如浇。一声羌管无人见，无数梅花落野桥。
素梅五十八首 其四十六,元末明初,王冕,闲花野草斗青红，一著冰霜扫地空。惟有老梅标致别，岁寒时节自春风。
素梅五十八首 其四十七,元末明初,王冕,地老天荒尽可花，不同桃李竞繁华。要知鼎鼐调羹味，须问旧时丞相家。
素梅五十八首 其四十八,元末明初,王冕,和靖门前雪作堆，多年积得满身苔。疏花个个团冰雪，羌笛吹他不下来。
素梅五十八首 其四十九,元末明初,王冕,月明海底夜无烟，恰似西湖雪后天。清气逼人禁不得，玉箫吹上大楼船。
素梅五十八首 其五十,元末明初,王冕,西湖湖上水如天，狂客长吟夜不眠。骑鹤归来清兴好，梅花无影月娟娟。
素梅五十八首 其五十二,元末明初,王冕,六月一日天大热，清风忽地过江来。湿云挟得梅梁起，半夜飞空作怒雷。
素梅五十八首 其五十三,元末明初,王冕,江北江南寒气重，雪花如席蔽天来。五更野叟敲门报，屋外老梅连夜开。
素梅五十八首 其五十四,元末明初,王冕,独鹤高飞雪气浓，梅烟清浅月朦胧。一声箫管归何处？人在琼楼玉宇中。
素梅五十八首 其五十五,元末明初,王冕,马迹山前万树梅，千花万花如雪开。满载扬州秋露白，玉箫吹过太湖来。
素梅五十八首 其五十六,元末明初,王冕,冰雪林中著此身，不同桃李混芳尘。忽然一夜清香发，散作乾坤万里春。
素梅五十八首 其五十七,元末明初,王冕,黄河十月冰如地，骑马何人说好官？老子门前三丈雪，梅花开尽不知寒。
素梅五十八首 其五十八,元末明初,王冕,春风无声海日起，梅花满树烟茫茫。西湖昨夜笙歌静，相见逋仙是林中。
梅花十五首 其一,元末明初,王冕,林下见清真，草衣如野人。开花冰雪里，岂是不知春？
梅花十五首 其二,元末明初,王冕,清苦良自持，忘言养高洁。夜静月明多，开门满山雪。
梅花十五首 其三,元末明初,王冕,十月霜风寒，山木俱摧折。独此冰玉姿，照影清溪月。
梅花十五首 其四,元末明初,王冕,故人江海去，相隔万重云。岁晚思无已，梅花可寄君。
梅花十五首 其五,元末明初,王冕,何处寻春信，江南路渺漫。夜深山月白，疏影隔窗看。
梅花十五首 其六,元末明初,王冕,老干渍清霜，寒梢挂新月。徐徐暗香来，可是春机泄？
梅花十五首 其七,元末明初,王冕,疏枝照清浅，一见兴何饶？记得春风夜，题诗过断桥。
梅花十五首 其八,元末明初,王冕,仙子步轻盈，泠泠玉佩声。罗浮烟水远，诗梦不胜情。
梅花十五首 其九,元末明初,王冕,冷艳凝轻露，清香度晚风。如何冰玉质，却学小桃红？
红梅,元末明初,王冕,深院春无限，香风吹绿漪。玉妃清梦醒，花雨落胭脂。
