题目,朝代,作者,内容
南乡子·由照胆台散步西行，调寄南乡子,清末民国初,王照,信步绕湖边。云懒山慵近午天。柳岸荷塘度人影，萧闲。梵宇钟声宕碧烟。几折路回环。逦迤行过竹素园。池馆亭台数不尽，绵延。鸡犬人家半是仙。
高阳台·怡园曲社,清末民国初,夏孙桐,絮搅天愁，花随水去，冶辰分外惊心。屧声喧廊，尘香到处堪寻。薰风沸暖笙歌地，早瞢腾、一片藤阴。昼沈沈。不信欢场，不悟春深。年时醒却华胥梦，笑闲招鹤侣，倦听鹃音。木石心肠，吴儿那解新吟。茶烟半向清池影，怕回看、浅鬓而今。更谁禁。万竹斜阳，笛破穿林。
夜飞鹊·望亭雨泊，偕艺风同作，绘同舟听雨图纪之,清末民国初,夏孙桐,西风暗、吹雨黄叶声边。孤棹冷泊吴烟。津桥星火半明灭，羁人相对迟眠。潇潇又成阵，正山钟搀断，野柝催阑。清愁万点，任篷窗、一向无言。凄绝转蓬身世，偏共卧沧江，经岁经年。今夕茫茫云水，波深月黑，何处鸣舷。拥衾剪烛，想芦中、梦醒都寒。怕栖乌惊起，明朝揽镜，换了朱颜。
疏影·题陈同叔绿梅花下填词图,清末民国初,夏孙桐,垂垂冻碧。对翠尊酒冷，香堕吟席。石火光阴，花谢花开，何郎自恋江国。看花白发人还在，懒谱入、东风瑶笛。只绮窗、一树多情，伴得旧时词客。坛坫今推祭酒，梦痕认画里，襟调清逸。月淡黄昏，鹤瘦苔枯，我共心耽幽寂。空山福分原非易，恨却污、春明尘色。待那时、翠翼啁啾，更卜岁寒消息。
征招·天平春眺,清末民国初,夏孙桐,撑烟蹙雾青螺影，春山共人俱瘦。磴窄扫苔，斑冷沈沈清昼。昔游还省否。只惊得、落花偏骤。树窟鹰呼，石潭鱼静，夕阳时候。生就薜萝心，登临处、依依几番回首。万绿又天涯，醉东风如酒。危阑留恋久。更遥看、五湖云厚。怎肠断、一一鹃声，送晚篷归后。
长亭怨慢·丙申春暮，将去吴中，同人载酒，招游虎阜。赋此留别,清末民国初,夏孙桐,恁容易、江湖心冷。不语沧波，照人离影。倚醉风前，扣舷歌罢憺将暝。鬓丝如此，浑怕向，青山映。苦说约归期，仨负了、冲烟渔艇。大隐。话长安旧侣，几个断蓬飘梗。莺花梦里，早到处、送春愁更。问一片、莽莽吴云，可留得、鸥边干净。只笛语江城，还趁梅风凄哽。
红情·荷花生日,清末民国初,夏孙桐,愁红一色。便翠筒酹与，年年今日。锦烂云稠，暗里秋心有谁识。流水盈盈似梦，惆怅入、汀洲凉笛。莫更问、画舸鸳鸯，风露纵凄咽。消息。渺江国。叹剩粉堕脂，镜心凝碧。采香倦客。肠断凌波旧痕觅。为证三生絮果，轻换了、珠房冰菂。祗耿耿青霭里，暮天望极。
惜秋华·咏雁，用梦窗木芙蓉体,清末民国初,夏孙桐,渺渺霜程，问南飞倦翮，因谁憔悴。万里断云，殷勤寄将残字。应知顾影西风，梦故国、春花销绮。怜伊剩、天涯爪雪，鹓鸾还忌。惆怅望烟际。尽江湖遍历，荒凉如此。叫侣唤群，一样稻粱心瘁。愁看水涸沙昏，只似雪、芦花衔起。凄异。岭梅寒、暗思归计。
玉京谣·雪后独游江亭,清末民国初,夏孙桐,薄醉风欹帽，岁晚登临，霁景销空翳。认取高寒，苍烟林外时起。敛怨蛾、一面西峰，甚却懒、今朝梳洗。无人际。朱阑绕遍，闲成孤倚。年时拥鼻来吟，冷暖曾谙，是软红情味。过眼莺花，残僧多事还记。指望中、无限楼台，又剩粉、夕阳痕渍。黄昏未。沙路倦寻归骑。
瑞鹤仙·王半塘春明感旧图,清末民国初,夏孙桐,瘦苔寒更积。话梦痕前度，古庭烟寂。琴尊几年隔。又东风人世，晨星词客。愁缣恨墨。护尘封、笼纱自碧。恁悤悤、吟到黄垆，容易鬓丝催白。还忆。山青岭外花发。城南那番笺擘，芳韶暗惜。凭翠羽，诉陈迹。纵看花人在，霜浓春浅，怕歰梅边旧笛。只孤弦、犹抱冬心，岁寒耐得。
庆清朝·新年,清末民国初,夏孙桐,雪剩欺梅，烟轻度柳，瞒人最是东风。铜街似沸，一番箫鼓春浓。赚得杜郎吟赏，安排逐队斗青红。凭谁问、桃符换矣，如此悤悤。从此俊游递约，又试镫期近，挑菜人逢。随香趁麝，忺春忘了春慵。珍重钿车满路，莫教风雨妒花丛。安心未、垒泥社燕，还絮帘栊。
水龙吟·送张次山纳言赴江南,清末民国初,夏孙桐,恋人楼外峰青，一尊更倚危阑款。东风信骤，漫天絮影，为谁遮断。去国情怀，伤高涕泪，几人心眼。只觚棱转首，春花似梦，浑忘了，天涯远。南国荷衣初换。棹鸱夷、五湖波软。丛兰露沚，轻鸥雪渚，顿教尘浣。料有渔樵，望风争识，切云冠岸。愿朱颜好护，呼猿招鹤，洗山中怨。
解连环 癸卯八月，相国寺街访瑶华故宅，顾视辛丑回銮置顿，抚事郁伊，正不止怀古切声也,清末民国初,陈洵,梵钟寒彻。洗尘微暂阁，晚吹还掣。背细草、闲语斜阳，早魂断燕飞，那时归妾。又入铜驼，烧灰冷、似僧能说。想双蝉暗掩，梦短黍宫，概从销歇。西风又红水叶。念江淮未霜，北雁先别。数倦程、独客销凝，忍重写伤心，雨铃残阕。故国秋回，怨过眼、芳菲鸣鴂。劝行人、未须吊古，但思岁月。
更漏子,清末民国初,陈洵,烛双花，筵滴泪。争奈未成沉醉。怜强笑，见悲啼。眼边光景迷。关山路。伤心数。不抵谢家廊庑。千里月，五更云。此情天与亲。
罗敷媚,清末民国初,程颂万,冷鸳寻梦香苔径，泪湿黄昏。月上重门。卷尽湘帘细细云。篆烟不锁纤尘影，愁杀春人。妒杀春魂。一点余寒恋粉痕。
蝶恋花,清末民国初,程颂万,窗外东风池上柳。春恨年年，惆怅还如旧。帘底巧莺声乍溜。凭伊软语将花咒。浑是愁多兼病酒。梦冷鲛绡，背倚屏山后。娇绝黄昏人倦候。罗衣特地春寒瘦。
江城梅花引,清末民国初,程颂万,横塘双桨掠秋苹。荡愁根。剪愁根。艇子归来，阑角认灯痕。贪筑小楼临水住，多分月，有时香，都到门。闭门香篆懒重熏。月黯魂。花黯颦。被也被也恋不得，空惜余温。记取折枝花样画罗裙。记取裙边书小字，诗瘦也，比侬家，瘦几分。
巫山一段云,清末民国初,程颂万,暗月移鸳径，残烟罥画纱。病容扶起半夭斜。瘦减一分花。门掩枇杷树，春藏燕子家。侍儿催道卸盘鸦。今夜太迟些。
粉蝶儿 见雨中桃花作,清末民国初,程颂万,晓起房栊，丝魂又随春去。茜窗边、蝶衣慵补。掩啼妆，回慢脸，芳心低诉。觅香巢，只在画帘深处。舞红一架，狂心都变张绪。蠹笺间、写他蛮素。甚残阳，犹恋着，最高花树。泣东风，蓦和鹃语。
绮罗香 灯花,清末民国初,程颂万,芳飐铜荷，艳分银叶，那夕谢娘庭院。酒醒宵阑，记得背人偷剪。似罗帏、双双深笑也，一样春心撩乱。最怜伊、瘦不禁风，茜纱六扇夜频掩。飞蛾空扑兰焰。知是为侬效死，为花情愿。罢剔瑶钗，惯惹玉人纤腕。簇珠花、绛雪春融，裹金粟、彩云风颤。结相思、一点多情，绮窗幽梦断。
减字木兰花,清末民国初,程颂万,碧天如水。月上窗儿人未睡。睡了还休。若是醒来不许愁。手挼裙带。倩影徘徊帘子外。只隔中门。各自销魂到夜分。
临江仙,清末民国初,程颂万,一段柔情春款款，眉边无那闲愁。月明凉爽下西楼。枕函苏蝶梦，屏影并鸳俦。廿四桥边春有约，都归豆蔻梢头。十三年纪擘箜篌。背人肠欲断，不语泪双流。
点绛唇 戏咏迷藏,清末民国初,程颂万,曲曲闲房，笑人只有梁间燕。燕子窥见。空使人寻遍。步履声微，似隔银河远。门偷掩。知他那畔。逗响双金钏。
玲珑四犯 和易中实鬘天影事词韵,清末民国初,程颂万,一寸眉情，看逗入菱妆，春瘦多少。晕碧苔廊，满径履痕将老。楼外细雨飘愁，伴绣被、那知魂销。恨闰春、不闰兰夜，迟我背灯词稿。茜窗慵觅余寒，唾剩残茸，口脂香小。待松金钮鼠窥人，响送潜钩恼。回望半咫屏山，早睡煞、狸奴清悄。蓦一回拭枕，一回撩帕，没人知道。
凤凰台上忆吹箫 落红怨,清末民国初,程颂万,绮梦欺鹃，芳心忏蝶，夜来无数残红。恨纻衣频剪，小院人空。燕子归来相唁，香魂断、嫁与东风。愁无据、狸奴未省，暗蹴鞋弓。匆匆。昨宵私饯，乍撇了红楼，恩淡愁浓。祝明年再见，私语哝哝。阑角夕阳痕腻，青苔褥、暖衬蒙茸。恹恹思、蓦禁风刬，卷上郎骢。
桃源忆故人,清末民国初,程颂万,帘前几个伤春燕。悄立落红庭院。花外春愁不见。只共烟丝剪。倩魂吹落桃花片。枝上嫩莺犹啭。编得荑篮侧面。识个人心眼。
西湖杂诗 其一,清末民国初,沈曾植,湖上波光罨雪光，张祠清绝胜刘庄。仙人自爱楼居好，六面山屏晓镜妆。
西湖杂诗 其二,清末民国初,沈曾植,游船平浅泛槎䒀，隔一牛鸣路转纡。消得桑蓬残习否？中流容与数鸥凫。
西湖杂诗 其三,清末民国初,沈曾植,石罅苔花朱不枯，空岩乳水静舂揄。枫林一叶吊霜艳，竹翠万梢矜雪腴。
西湖杂诗 其四,清末民国初,沈曾植,江门帆点夕阳明，江上愁心向晚生。我寄悲怀东海若，要回胥种荡蓬瀛。
至鹿洞庭湖书院,清末民国初,陈衍,路转峰回处，苍松各不群。一溪都见底，五老尚横云。海外多奇字，山中只旧闻。流芳桥上伫，水石本清芬。
冬述四首示子培 其三,清末民国初,陈衍,往余游京华，郑君过我邸。告言子沈子，诗亦同光体。杂然见赠答，色味若粢醴。十年始会面，辍乐正读礼。从之索旧作，发箧空如洗。能者不自珍，翻悔笔轻泚。我言诗教微，百喙乃争启。风雅道殆丧，庞言天方癠。内轻感外重，怨诽遂丑诋。何人抱微尚，不绝如追蠡。宋唐皆贤劫，胜国空祖祢。当涂逮典午，导江仅至澧。先生特自牧，颇谓语中綮。年来积怀抱，发泄出根柢。虽肆百态妍，石濑下见底。我虽不晓事，老去目未眯。谅有古性情，汩汩任有瀰。
重九前一日汉上酒楼独饮,清末民国初,易顺鼎,终日一编不去手，终岁不窥园外柳。柳线黄金春色深，枝上流莺来劝酒。每岁花开不在家，今春花发如红霞。阿母携孙花下戏，檐前晨鹊声喳喳。人道汉书下酒物，谁道读书如读律。刘向黄金铸不成，奇字子云徒口吃。花落花开三万春，何如起舞北堂晨。新妇佳儿各一斗，醉中烂漫皆天真。臣是酒醒解上寿，不是花民即酒民。
遍游桂林山岩,清末民国初,金武祥,未暇骖鸾信不诬，玉簪罗带路纡萦。桂林山水甲天下，绝妙漓江秋泛图。
过虎门,清末民国初,康有为,粤海重关二虎尊，万龙轰斗事何存。至今遗垒馀残石，白浪如山过虎门。
闻意索三门湾以兵轮三艘迫浙江有,清末民国初,康有为,凄凉白马市中箫，梦入西湖数六桥。绝好江山谁看取？涛声怒断浙江潮。
出都留别诸公,清末民国初,康有为,天龙作骑万灵从，独立飞来缥缈峰。怀抱芳馨兰一握，纵横宙合雾千重。眼中战国成争鹿，海内人才孰卧龙？抚剑长号归去也，千山风雨啸青锋。
出都留别诸公,清末民国初,康有为,沧海惊波百怪横，唐衢痛哭万人惊。高峰突出诸山妒，上帝无言百鬼狞。岂有汉庭思贾谊，拚教江夏杀祢衡。陆沉预为中原叹，他日应思鲁二生。
夜宿海会寺赠至善上人,清末民国初,康有为,开士诛茅五老峰，手植匡山百万松。荡云尽吸明湖水，招月来听海会钟。初地雨花驯白牯，阴岩石气郁苍龙。读书无处归来晚，桂树幽幽烟雾重。
秋登越王台,清末民国初,康有为,秋风立马越王台，混混蛇龙最可哀。十七史从何说起，三千劫几历轮回。腐儒心事呼天问，大地山河跨海来。临睨飞云横八表，岂无倚剑叹雄才！
与菽园论诗兼寄任公孺博曼宣,清末民国初,康有为,一代才人孰绣丝，万千作者亿千诗。吟风弄月各自得，覆酱烧薪空尔悲。正始如闻本风雅，丽葩无奈祖骚词。汉唐格律周人意，悱恻雄奇亦可思。新世瑰奇异境生，更搜欧亚造新声。深山大泽龙蛇起，瀛海九州云物惊。四圣崆峒迷大道，万灵风雨集明廷。华严帝网重重现，广乐钧天窃窃听。意境几于无李杜，目中何处着元明？飞腾作势风云起，奇变见犹神鬼惊。扫除近代新诗话，惝恍诸天闻乐声。兹事混茫与微妙，感人千载妙音生。
蝶恋花,清末民国初,康有为,记得珠帘初卷处，人倚阑干，被酒刚微醉。翠叶飘零秋自语，晓风吹堕横塘路。词客看花心意苦，坠粉零香，果是谁相误。三十六陂飞细雨，明朝颜色难如故。
太平洋遇雨,清末民国初,梁启超,一雨纵横亘二洲，浪淘天地入东流。却余人物淘难尽，又挟风雷作远游。
台湾竹枝词,清末民国初,梁启超,郎搥大鼓妾打锣，稽首天西妈祖婆。今生够受相思苦，乞取他生无折磨。
台湾竹枝词,清末民国初,梁启超,手握柴刀入柴山，柴心未断做柴攀。郎自薄情出手易，柴枝离树何时还。
台湾竹枝词,清末民国初,梁启超,教郎早来郎恰晚，教郎大步郎宽宽。满拟待郎十年好，五年未满愁心肝。
纪事二十四首 其一,清末民国初,梁启超,人天去住两无期，啼鴃年芳每自疑。多少壮怀偿未了，又添遗憾到蛾眉。
纪事二十四首 其二,清末民国初,梁启超,颇愧年来负盛名，天涯到处有逢迎。识荆说项寻常事，第一相知总让卿。
纪事二十四首 其三,清末民国初,梁启超,目如流电口如河，睥睨时流振法螺。不论才华论胆略，鬒眉队里已无多。
纪事二十四首 其四,清末民国初,梁启超,青衫红粉讲筵新，言语科中第一人。座绕万花听说法，胡儿错认是乡亲。
纪事二十四首 其五,清末民国初,梁启超,眼中直欲无男子，意气居然我丈夫。二万万人齐下拜，女权先到火奴奴。
纪事二十四首 其六,清末民国初,梁启超,眼中既已无男子，独有青睐到小生。如此深恩安可负，当筵我几欲卿卿。
纪事二十四首 其七,清末民国初,梁启超,卿尚粗解中行颉，我惭不识左行怯。奇情艳福天难妒，红袖添香对译书。
纪事二十四首 其八,清末民国初,梁启超,惺惺含意惜惺惺，岂必圆时始有情。最是多欢复多恼，初相见即话来生。
纪事二十四首 其九,清末民国初,梁启超,甘隶西征领右军，几凭青鸟致殷勤。舌人不惜为毛遂，半为宗都半为君。
纪事二十四首 其十,清末民国初,梁启超,我非太上忘情者，天赐奇缘忍能谢。思量无福消此缘，片言乞与卿怜借。
纪事二十四首 其十一,清末民国初,梁启超,后顾茫茫虎穴身，忍将多难累红裙。君看十万头颅价，遍地锄麑欲噬人。
纪事二十四首 其十二,清末民国初,梁启超,匈奴未灭敢言家，百里行犹九十赊。怕有旁人说长短，风云气尽爱春华。
纪事二十四首 其十三,清末民国初,梁启超,一夫一妻世界会，我与浏阳实创之。尊重公权割私爱，须将身作后人师。
纪事二十四首 其十四,清末民国初,梁启超,含情慷慨谢婵娟，江上芙蓉各自怜。别有法门弥阙陷，杜陵兄妹亦因缘。
纪事二十四首 其十五,清末民国初,梁启超,怜余结习销难尽，絮影禅心不自由。昨夜梦中礼天女，散花来去著心头。
纪事二十四首 其十六,清末民国初,梁启超,却服权奇女丈夫，道心潭粹与人殊。波澜起落无痕迹，似此奇情古所无。
纪事二十四首 其十七,清末民国初,梁启超,华服盈盈拜阿兄，相从谭道复谈兵。尊前恐累风云气，更谱军歌作尾声。
纪事二十四首 其十八,清末民国初,梁启超,万一维新事可望，相将携手还故乡。欲悬一席酬知己，领袖中原女学堂。
纪事二十四首 其十九,清末民国初,梁启超,昨夜闺中远寄诗，殷勤劝进问佳期。绿章为报通明使，那有闲情似旧时。
纪事二十四首 其二十,清末民国初,梁启超,珍重千金不字身，完全自主到钗裙。他年世界女权史，应识支那大有人。
纪事二十四首 其二十一,清末民国初,梁启超,匆匆羽檄引归船，临别更悭一握缘。今生知否能重见，一抚遗尘一惘然。
纪事二十四首 其二十二,清末民国初,梁启超,曩译佳人奇遇成，每生游想涉空冥。从今不羡柴东海，枉被多情惹薄情。
纪事二十四首 其二十三,清末民国初,梁启超,鸾飘凤泊总无家，惭愧西风两鬓华。万里海槎一知己，应无遗恨到天涯。
纪事二十四首 其二十四,清末民国初,梁启超,猛忆中原事可哀，苍黄天地入蒿莱。何心更作喁喁语，起趁鸡声舞一回。
读陆放翁集,清末民国初,梁启超,辜负胸中十万兵，百无聊赖以诗鸣。谁怜爱国千行泪，说到胡尘意不平。
读陆放翁集,清末民国初,梁启超,叹老嗟卑却未曾，转因贫病气崚嶒。英雄学道当如此，笑尔儒冠怨杜陵。
读陆放翁集,清末民国初,梁启超,朝朝起作桐江钓，昔昔梦随辽海尘。恨杀南朝道学盛，缚将奇士作诗人。
读陆放翁集,清末民国初,梁启超,诗界千年靡靡风，兵魂销尽国魂空。诗中什九从军乐，亘古男儿一放翁。
东归感怀,清末民国初,梁启超,极目中原幕色深，蹉跎负尽百年心。那将涕泪三千斛，换得头颅十万金。鹃拜故林魂寂寞，鹤归华表气萧森。恩仇稠叠盈怀抱，抚髀空为梁父吟。
刘荆州,清末民国初,梁启超,二千年后刘荆州，雄镇江黄最上游。笔下高文蠹鱼矢，帐前飞将烂羊头。忍将国难供谈柄，敢与民权有夙仇。闻说魏公加九锡，似君词赋更无俦。
壮别,清末民国初,梁启超,赫赫皇华记，凄凄去国吟。出匡恩未报，赠缟爱何深。重话艰难业，商量得失林。只身浮海志，使我忆松阴。
壮别,清末民国初,梁启超,狂简今犹昔，裁成意苦何？辙环人事瘁，棒喝佛恩多。翼翼酬衣带，冥冥慎网罗。图南近消息，为我托微波。
自励,清末民国初,梁启超,平生最恶牢骚语，作态呻吟苦恨谁。万事祸为福所倚，百年力与命相持。立身岂患无余地，报国惟忧或后时。未学英雄先学道，肯将荣瘁校群儿。
自励,清末民国初,梁启超,献身甘作万矢的，著论求为百世师。誓起民权移旧俗，更研哲理牖新知。十年以后当思我，举国犹狂欲语谁。世界无穷愿无尽，海天寥廓立多时。
二十世纪太平洋歌,清末民国初,梁启超,亚洲大陆有一士，自名任公其姓梁。尽瘁国事不得志，断发胡服走扶桑。扶桑之居读书尚友既一载，耳目神气颇发皇。少年悬弧四方志，未敢久恋蓬莱乡。誓将适彼世界共和政体之祖国，问政求学观其光。乃于西历一千八百九十九年腊月晦日之夜半，扁舟横渡太平洋。其时人静月黑夜悄悄，怒波碎打寒星芒。海底蛟龙睡初起，欲嘘未嘘欲舞未舞深潜藏。其时彼士兀然坐，澄心摄虑游窅茫。正住华严法界第三观，帝网深处无数镜影涵其旁。蓦然忽想今夕何夕地何地，乃是新旧二世纪之界线，东西两半球之中央。不自我先不我后，置身世界第一关键之津梁。胸中万千块垒突兀起，斗酒倾尽荡气回中肠。独饮独语苦无赖，曼声浩歌歌我二十世纪太平洋。巨灵擘地镵鸿荒，飞鼍碎影神螺僵。上有抟土顽苍苍，下有积水横泱泱。抟土为六积水五，位置落错如参商。尔来千劫千纪又千岁，裸虫缘虱为其乡。此虫他虫相间天演界中复几劫，优胜劣败吾莫强。主宰造物役物物，庄严地土无尽藏。初为据乱次小康，四土先达爰滥觞。支那印度邈以隔，埃及安息侯官严氏考定小亚细亚即汉之安息，今从之。邻相望。地球上古文明祖国有四：中国及印度、埃及、小亚西亚是也。厥名河流文明时代第一纪，始脱行国成建邦。衣食衎衎郑白沃，贸迁仆仆浮茶梁。恒河郁壮殑伽长，扬子水碧黄河黄。尼罗埃及河名。一岁一泛溉，姚台姚弗里士河、台格里士河皆安息大河名。蜿蜿双龙翔。水哉水哉厥利乃尔溥，浸濯暗黑扬晶光。此后四千数百载，群族内力逾扩张。乘风每驾一苇渡，搏浪乃持三岁粮。汉书《西域传》言：“渡西海不得风，或三岁乃达。”西海即地中海也。就中北辰星拱地中海，葱葱郁郁腾光铓。岸环大小都会数百计，积气淼淼盘中央。自余各土亦尔尔，海若凯奏河伯降。波罗的与亚剌伯，二海名。西域两极遥相望。亚东黄渤谓黄海、渤海。壮以阔，亚西尾闾身毒洋。谓印度洋。斯名内海文明时代第二纪，五洲寥邈殊未央。蛰雷一声百灵忙，翼轮降空神鸟翔。哥伦布初到美洲，土人以为天神，见其船之帆，谓为翼也。咄哉世界之外复有新世界，造化乃尔神秘藏。阁龙日本译哥伦布以此二字。归去举国狂，帝国挟帜民赢粮。谈瀛海客多于鲫，莽土倏变华严场。朅来大洋文明时代始萌蘖，亘五世纪堂哉皇。其时西洋谓大西洋。权力渐夺西海谓地中海，用汉名也。席，两岸新市星罗棋布气燄长虹长。世界风潮至此忽大变，天地异色神鬼瞠。轮船铁路电线瞬千里，缩地疑有鸿秘方。四大自由谓思想自由、言论自由、行为自由、出版自由。塞宙合，奴性销为日月光。悬崖转石欲止不得止，愈竞愈剧愈接愈厉卒使五洲同一堂。流血我敬伋顿曲，觅得檀香山、澳大利亚洲者，后为檀岛土民所杀。冲锋我爱麦寨郎。以千五百十九年始绕地球一周者。鼎鼎数子只手挈大地，电光一掣剑气磅礴太平洋。太平洋，太平洋，大风泱泱，大潮滂滂。张肺歙地地出没，喷沫冲天天低昂。气吞欧墨者八九，况乃区区列国谁界疆。异哉似此大物隐匿万千载，禹经亥步无能详。毋乃吾曹躯壳太小君太大，弃我不屑齐较量。君兮今落我族手，游刃当尽君所长。吁嗟乎，今日民族帝国主义正跋扈，俎肉者弱食者强。英狮俄鹫东西帝，两虎不斗群兽殃。后起人种日耳曼，国有余口无余粮。欲求尾闾今未得，拚命大索殊皇皇。亦有门罗主义北美合众国，潜龙起蛰神采扬。西县古巴东菲岛，中有夏威八点烟微茫。太平洋变里湖水，遂取武库廉奚伤。蕞尔日本亦出定，座容卿否费商量。我寻风潮所自起，有主之者吾弗详。物竞天择势必至，不优则劣兮不兴则亡。水银钻地孔乃入，物不自腐虫焉藏。尔来环球九万里上一沙一草皆有主，旗鼓相匹强权强。惟余东亚老大帝国一块肉，可取不取毋乃殃。五更肃肃云雨霜，鼾声如雷卧榻傍。诗灵罢歌鬼罢哭，问天不语徒苍苍。噫嚱吁，太平洋，太平洋，君之面兮锦绣壤，君之背兮修罗场。海电兮既没，舰队兮愈张。西伯利亚兮，铁路卒业，巴拿马峡兮，运河通航。尔时太平洋中二十世纪之天地，悲剧喜剧壮剧惨剧齐鞈鞺。吾曹生此岂非福，饱看世界一度两度兮沧桑。沧桑兮沧桑，转绿兮回黄。我有同胞兮四万五千万，岂其束手兮待僵。招国魂兮何方，大风泱泱兮大潮滂滂。吾闻海国民族思想高尚以活泼，吾欲我同胞兮御风以翔。吾欲我同胞兮破浪以飏。海云极目何茫茫，涛声彻耳逾激昂。鼍腥龙血玄以黄，天黑水黑长夜长。满船沉睡我徬徨，浊酒一斗神飞扬。渔阳三叠魂憯伤，欲语不语怀故乡。纬度东指天尽处，一线微红出扶桑，酒罢诗罢但见寥天一鸟鸣朝阳。
广诗中八贤歌 其一 诸暨蒋智由观云,清末民国初,梁启超,诗界革命谁欤豪？因明钜子天所骄，驱役教典庖丁刀，何况欧学皮与毛。
去国行,清末民国初,梁启超,呜呼济艰乏才兮，儒冠容容。佞头不斩兮，侠剑无功。君恩友仇两未报，死于贼手毋乃非英雄。割慈忍泪出国门，掉头不顾吾其东。东方古称君子国，种族文教咸我同。尔来封狼逐逐磨齿瞰西北，唇齿患难尤相通。大陆山河若破碎，巢覆完卵难为功。我来欲作秦廷七日哭，大邦犹幸非宋聋。却读东史说东故，卅年前事将毋同。城狐社鼠积威福，王室蠢蠢如赘痈。浮云蔽日不可扫，坐令蝼蚁食应龙。可怜志士死社稷，前仆后起形影从。一夫敢射百决拾，水户萨长之间流血成川红。尔来明治新政耀大地，驾欧凌美气葱茏。旁人闻歌岂闻哭，此乃百千志士头颅血泪回苍穹。吁嗟乎！男儿三十无奇功，誓把区区七尺还天公。不幸则为僧月照，幸则为南洲翁。不然高山蒲生象山松荫之间占一席，守此松筠涉严冬，坐待春回终当有东风。吁嗟乎！古人往矣不可见，山高水深闻古踪。潇潇风雨满天地，飘然一身如转蓬，披发长啸览太空。前路蓬山一万重，掉头不顾吾其东。
台湾竹枝词,清末民国初,梁启超,绿阴阴处打槟榔，蘸得蒟酱待劝郎。愿郎到口莫嫌涩，个中甘苦郎细尝。
台湾竹枝词,清末民国初,梁启超,韭菜花开心一枝，花正黄时叶正肥。愿郎摘花连叶摘，到死心头不肯离。
